アーキア　　　　　　　　　　　　　　　　あーきあ　　　　　　　　　　　　　　　　,N B.     ,古細菌、真核生物
ティッピングポイント　　　　　　　　　　てぃっぴんぐぽいんと　　　　　　　　　　,N 1.     ,気候転換点
ディテール　　　　　　　　　　　　　　　でぃてーる　　　　　　　　　　　　　　　,N 1.     ,細かい部分
ティワナク　　　　　　　　　　　　　　　てぃわなく　　　　　　　　　　　　　　　,N 5.     ,Ｔｉｗａｎａｋｕプレ・インカ期の遺跡名
デイケアー　　　　　　　　　　　　　　　でいけあー　　　　　　　　　　　　　　　,N 1.     ,昼間介護保険サービス
デイサービス　　　　　　　　　　　　　　でいさーびす　　　　　　　　　　　　　　,N 1.     ,昼間介護保険サービス
程度差　　　　　　　　　　　　　　　　　ていどさ　　　　　　　　　　　　　　　　,N 1.     ,
デイトリップ　　　　　　　　　　　　　　でいとりっぷ　　　　　　　　　　　　　　,N 1.     ,
デイトレーダー　　　　　　　　　　　　　でいとれーだー　　　　　　　　　　　　　,N 4.     ,
データサイエンス　　　　　　　　　　　　でーたさいえんす　　　　　　　　　　　　,N 1.     ,ｄａｔａ　ｓｃｉｅｎｃｅ
データサイエンティスト　　　　　　　　　でーたさいえんてぃすと　　　　　　　　　,N 1.     ,
データマイニング　　　　　　　　　　　　でーたまいにんぐ　　　　　　　　　　　　,N 1.     ,有益なデータを取り出す
ＤＤｏＳ　　　　　　　　　　　　　　　　でーどす　　　　　　　　　　　　　　　　,N 1.     ,ｄｉｓｔｒｉｂｕｔｅｄ　ｄｅｎｉａｌ　ｏｆ　ｓｅｒｖｉｃｅ　ａｔｔａｃｋ
テーラーメード医療　　　　　　　　　　　てーらーめーどいりょう　　　　　　　　　,N 1.  P  ,
テオブロミン　　　　　　　　　　　　　　ておぶろみん　　　　　　　　　　　　　　,N B.     ,ｔｈｅｏｂｒｏｍｉｎｅプリン塩基と構造が似たアルカロイドの1種
でかい顔　　　　　　　　　　　　　　　　でかいかお　　　　　　　　　　　　　　　,N 1.  N  ,
デカップリングする　　　　　　　　　　　でかっぷりんぐする　　　　　　　　　　　,D 4.     ,切り離す
デカボ　　　　　　　　　　　　　　　　　でかぼ　　　　　　　　　　　　　　　　　,N 1.     ,脱炭素,Ｄｅｃａｒｂｏｎｉｚａｔｉｏｎ
手ぐし　　　　　　　　　　　　　　　　　てぐし　　　　　　　　　　　　　　　　　,C  .     ,
デコ活　　　　　　　　　　　　　　　　　でこかつ　　　　　　　　　　　　　　　　,N 1.  P  ,脱炭素活動
デコトラ　　　　　　　　　　　　　　　　でことら　　　　　　　　　　　　　　　　,N B.     ,外装を飾ったトラック
デコルテ　　　　　　　　　　　　　　　　でこるて　　　　　　　　　　　　　　　　,N 1.     ,Ｄｅｃｏｌｌｅｔａｇｅ襟ぐりの大きく開いたドレス
テザリング　　　　　　　　　　　　　　　てざりんぐ　　　　　　　　　　　　　　　,N 1.     ,ｔｅｔｈｅｒｉｎｇモバイル端末をインターネットに接続する
デジタル　　　　　　　　　　　　　　　　でじたる　　　　　　　　　　　　　　　　,N 1.     ,数値化
デジタルツイン　　　　　　　　　　　　　でじたるついん　　　　　　　　　　　　　,N 1.     ,
デジタル通貨　　　　　　　　　　　　　　でじたるつうか　　　　　　　　　　　　　,N 1.     ,電子マネー
デジタルネイティブ　　　　　　　　　　　でじたるねいてぃぶ　　　　　　　　　　　,N 4.     ,インターネットがある環境で生まれ育った人
デジタル払いする　　　　　　　　　　　　でじたるばらいする　　　　　　　　　　　,D 4.     ,
ＤＸ　　　　　　　　　　　　　　　　　　でじたるへんかく　　　　　　　　　　　　,N 1.     ,デジタル変革,Digital Transformation
デジャブ　　　　　　　　　　　　　　　　でじゃぶ　　　　　　　　　　　　　　　　,N 1.     ,既視観
デジャブ感　　　　　　　　　　　　　　　でじゃぶかん　　　　　　　　　　　　　　,N 1.     ,既視感,経験がないはずなのに
テストステロン　　　　　　　　　　　　　てすとすてろん　　　　　　　　　　　　　,N B.     ,Testosterone男性ホルモン
テスラ　　　　　　　　　　　　　　　　　てすら　　　　　　　　　　　　　　　　　,N 1.     ,磁束密度の単位
テッパン　　　　　　　　　　　　　　　　てっぱん　　　　　　　　　　　　　　　　,C  .     ,確実だ
デトックス　　　　　　　　　　　　　　　でとっくす　　　　　　　　　　　　　　　,N 1.  P  ,ｄｅｔｏｘ体内に溜まった有害毒物を排出させること
デトネーション　　　　　　　　　　　　　でとねーしょん　　　　　　　　　　　　　,N 1.     ,detonation爆轟
デノスマブ　　　　　　　　　　　　　　　でのすまぶ　　　　　　　　　　　　　　　,N B.     ,ｄｅｎｏｓｕｍａｂRANKLを標的としたヒト型モノクローナル抗体製剤
手乗り　　　　　　　　　　　　　　　　　てのり　　　　　　　　　　　　　　　　　,R  .     ,
デバイス　　　　　　　　　　　　　　　　でばいす　　　　　　　　　　　　　　　　,N B.     ,装置
手羽先　　　　　　　　　　　　　　　　　てばさき　　　　　　　　　　　　　　　　,N B.     ,
デパ地下　　　　　　　　　　　　　　　　でぱちか　　　　　　　　　　　　　　　　,N 7.     ,
デビッド　　　　　　　　　　　　　　　　でびっど　　　　　　　　　　　　　　　　,N 1.     ,支払いと同時にご自身の銀行口座から引き落としがされる
デブリ　　　　　　　　　　　　　　　　　でぶり　　　　　　　　　　　　　　　　　,N B.  N  ,ゴミ
テヘペロ　　　　　　　　　　　　　　　　てへぺろ　　　　　　　　　　　　　　　　,N 1.  N  ,
デュアルコース　　　　　　　　　　　　　でゅあるこーす　　　　　　　　　　　　　,N 1.     ,
テラピア　　　　　　　　　　　　　　　　てらぴあ　　　　　　　　　　　　　　　　,N 4.     ,Ｔｉｌａｐｉａ淡水魚
テラピー　　　　　　　　　　　　　　　　てらぴー　　　　　　　　　　　　　　　　,N 1.  P  ,
テラヘルツ　　　　　　　　　　　　　　　てらへるつ　　　　　　　　　　　　　　　,N 1.     ,
テレイグジスタンス　　　　　　　　　　　てれいぐじすたんす　　　　　　　　　　　,N 1.  P  ,Ｔｅｌｅｘｉｓｔｅｎｃｅ遠隔地にある物があたかも近くにあるかのように感じ
テレショッピング　　　　　　　　　　　　てれしょっぴんぐ　　　　　　　　　　　　,N 1.  P  ,
テレプレゼンス　　　　　　　　　　　　　てれぷれぜんす　　　　　　　　　　　　　,N 1.  P  ,ビデオ会議システム
テレワーク　　　　　　　　　　　　　　　てれわーく　　　　　　　　　　　　　　　,N 1.  P  ,リモートワーク
テロメア　　　　　　　　　　　　　　　　てろめあ　　　　　　　　　　　　　　　　,N B.     ,真核生物の染色体の末端部にある構造　寿命
添加物　　　　　　　　　　　　　　　　　てんかぶつ　　　　　　　　　　　　　　　,N B.     ,
電気ケトル　　　　　　　　　　　　　　　でんきけとる　　　　　　　　　　　　　　,N B.     ,
電気自動車　　　　　　　　　　　　　　　でんきじどうしゃ　　　　　　　　　　　　,N B.     ,ＥＶ
デング熱　　　　　　　　　　　　　　　　でんぐねつ　　　　　　　　　　　　　　　,N 1.  N  ,
点群データ　　　　　　　　　　　　　　　てんぐんでーた　　　　　　　　　　　　　,N 1.     ,
点群データ　　　　　　　　　　　　　　　でんぐんでーた　　　　　　　　　　　　　,N 1.     ,
電源バランス　　　　　　　　　　　　　　でんげんばらんす　　　　　　　　　　　　,N 1.     ,
天才肌　　　　　　　　　　　　　　　　　てんさいはだ　　　　　　　　　　　　　　,N 4.  P  ,
電子タグ　　　　　　　　　　　　　　　　でんしたぐ　　　　　　　　　　　　　　　,N 1.     ,
転車台　　　　　　　　　　　　　　　　　てんしゃだい　　　　　　　　　　　　　　,N 1.     ,
電子レンジ　　　　　　　　　　　　　　　でんしれんじ　　　　　　　　　　　　　　,N B.     ,
電動キックボード　　　　　　　　　　　　でんどうきっくぼーど　　　　　　　　　　,N B.     ,
テンパる　　　　　　　　　　　　　　　　てんぱる　　　　　　　　　　　　　　　　,D R.  P  ,
ＴＥＭＰＯ　　　　　　　　　　　　　　　てんぽ　　　　　　　　　　　　　　　　　,N B.     ,有機化合物
甜麺醤　　　　　　　　　　　　　　　　　てんめんじゃん　　　　　　　　　　　　　,N B.     ,
対面　　　　　　　　　　　　　　　　　　といめん　　　　　　　　　　　　　　　　,N 4.     ,
道央　　　　　　　　　　　　　　　　　　どうおう　　　　　　　　　　　　　　　　,N 7.     ,
同義語　　　　　　　　　　　　　　　　　どうぎご　　　　　　　　　　　　　　　　,N 1.     ,ｓｙｎｏｎｙｍ
東京国際展示場　　　　　　　　　　　　　とうきょうこくさいてんじじょう　　　　　,N 7.     ,ビッグサイト
同業者　　　　　　　　　　　　　　　　　どうぎょうしゃ　　　　　　　　　　　　　,N 5.     ,
同業他社　　　　　　　　　　　　　　　　どうぎょうたしゃ　　　　　　　　　　　　,N 5.     ,
東西南北　　　　　　　　　　　　　　　　とうざいなんぼく　　　　　　　　　　　　,N 7.     ,
道南　　　　　　　　　　　　　　　　　　どうなん　　　　　　　　　　　　　　　　,N 7.     ,
豆板醤　　　　　　　　　　　　　　　　　とうばんじゃん　　　　　　　　　　　　　,N B.     ,
登坂する　　　　　　　　　　　　　　　　とうはんする　　　　　　　　　　　　　　,D 4.     ,
動物福祉　　　　　　　　　　　　　　　　どうぶつふくし　　　　　　　　　　　　　,N 1.  P  , Animal welfare
豆苗　　　　　　　　　　　　　　　　　　とうみょう　　　　　　　　　　　　　　　,N 1.     ,
東ロボくん　　　　　　　　　　　　　　　とうろぼくん　　　　　　　　　　　　　　,N 1.     ,東大入試に迫るコンピュータソフト
トーキングプラント　　　　　　　　　　　とーきんぐぷらんと　　　　　　　　　　　,N 1.     ,植物は会話している
トークン　　　　　　　　　　　　　　　　とーくん　　　　　　　　　　　　　　　　,N 1.     ,最小要素
トートバッグ　　　　　　　　　　　　　　とーとばっぐ　　　　　　　　　　　　　　,N B.     ,持ち手が2つあるバッグ
ドーパミン　　　　　　　　　　　　　　　どーぱみん　　　　　　　　　　　　　　　,N B.     ,脳内で分泌される神経伝達物質
遠巻きに　　　　　　　　　　　　　　　　とおまきに　　　　　　　　　　　　　　　,F Y.     ,
トー横　　　　　　　　　　　　　　　　　とーよこ　　　　　　　　　　　　　　　　,N 7.  N  ,新宿東宝ビル横
とかいなか　　　　　　　　　　　　　　　とかいなか　　　　　　　　　　　　　　　,N 7.     ,都会田舎
トキソイド　　　　　　　　　　　　　　　ときそいど　　　　　　　　　　　　　　　,N B.     ,ｔｏｘｏｉｄ毒素の毒性をなくし、免疫を作る働きだけにしたもの
ＤＱＮ　　　　　　　　　　　　　　　　　どきゅん　　　　　　　　　　　　　　　　,N 1.  N  ,「粗暴」「非常識」「軽率」「反社会的」「低脳」
毒キノコ　　　　　　　　　　　　　　　　どくきのこ　　　　　　　　　　　　　　　,N B.  N  ,
ドクターヘリ　　　　　　　　　　　　　　どくたーへり　　　　　　　　　　　　　　,N 4.  P  ,
トクリュウ　　　　　　　　　　　　　　　とくりゅう　　　　　　　　　　　　　　　,N 1.     ,匿名・流動型犯罪グループ
屠殺場　　　　　　　　　　　　　　　　　とさつじょう　　　　　　　　　　　　　　,N 7.     ,
屠殺場　　　　　　　　　　　　　　　　　とさつば　　　　　　　　　　　　　　　　,N 7.     ,
都市鉱山　　　　　　　　　　　　　　　　としこうざん　　　　　　　　　　　　　　,N 7.     ,ｕｒｂａｎ　ｍｉｎｉｎｇ
ＤｏＳ攻撃　　　　　　　　　　　　　　　どすこうげき　　　　　　　　　　　　　　,N 1.     ,Ｄｅｎｉａｌ　ｏｆ　Ｓｅｒｖｉｃｅ　ａｔｔａｃｋ
ドタキャンする　　　　　　　　　　　　　どたきゃんする　　　　　　　　　　　　　,D 4.  N  ,
ドッキリ　　　　　　　　　　　　　　　　どっきり　　　　　　　　　　　　　　　　,N 1.  N  ,
ドップラー　　　　　　　　　　　　　　　どっぷらー　　　　　　　　　　　　　　　,N 1.     ,ｄｏｐｐｌｅｒ　
土止めする　　　　　　　　　　　　　　　どどめする　　　　　　　　　　　　　　　,D 4.     ,
ドナメマブ　　　　　　　　　　　　　　　どなめまぶ　　　　　　　　　　　　　　　,N 1.     ,アルツハイマー病の初期症状の治療薬
ドニプロ　　　　　　　　　　　　　　　　どにぷろ　　　　　　　　　　　　　　　　,N 7.     ,ドニエプル川
土漠　　　　　　　　　　　　　　　　　　どばく　　　　　　　　　　　　　　　　　,N 7.     ,砂漠
トポロジカル相転移　　　　　　　　　　　とぽろじかるそうてんい　　　　　　　　　,N 1.     ,ある特別な条件において生じる相転移
富岡製糸場　　　　　　　　　　　　　　　とみおかせいしじょう　　　　　　　　　　,N 7.     ,
ドメスティック　　　　　　　　　　　　　どめすてぃっく　　　　　　　　　　　　　,N 7.     ,国内
ＤＶ　　　　　　　　　　　　　　　　　　どめすてぃっくばいおれんす　　　　　　　,N 1.  N  ,ｄｏｍｅｓｔｉｃ　ｖｉｏｌｅｎｃｅ
トモグラフィー　　　　　　　　　　　　　ともぐらふぃー　　　　　　　　　　　　　,N B.     ,ｔｏｍｏｇｒａｐｈｙ断層映像法
ドヤ顔　　　　　　　　　　　　　　　　　どやがお　　　　　　　　　　　　　　　　,C  .  N  ,
豊洲市場　　　　　　　　　　　　　　　　とよすしじょう　　　　　　　　　　　　　,N 7.     ,
ドライアイ　　　　　　　　　　　　　　　どらいあい　　　　　　　　　　　　　　　,N 1.  N  ,
ドライブレコーダー　　　　　　　　　　　どらいぶれこーだー　　　　　　　　　　　,N B.     ,
ドラッグラグ　　　　　　　　　　　　　　どらっぐらぐ　　　　　　　　　　　　　　,N B.     ,海外のくすりが、日本で使えるようになるまでの時間の差
ドラッグリポジショニング　　　　　　　　どらっぐりぽじしょにんぐ　　　　　　　　,N 1.     ,ある疾患に有効な治療薬から、別の疾患に有効な薬効を見つけ出す
ドラレコ　　　　　　　　　　　　　　　　どられこ　　　　　　　　　　　　　　　　,N B.     ,dorive recoder
トランスフォーメーション　　　　　　　　とらんすふぉーめーしょん　　　　　　　　,N 1.     ,ＤＸ、変革
トランスポンダー　　　　　　　　　　　　とらんすぽんだー　　　　　　　　　　　　,N B.     ,信号を相互に変換
トリアージ　　　　　　　　　　　　　　　とりあーじ　　　　　　　　　　　　　　　,N 1.     ,傷病者に治療優先順位を決めること
鳥インフルエンザ　　　　　　　　　　　　とりいんふるえんざ　　　　　　　　　　　,N 1.     ,
トリエンナーレ　　　　　　　　　　　　　とりえんなーれ　　　　　　　　　　　　　,N 8.     ,３年に一度
トリセツ　　　　　　　　　　　　　　　　とりせつ　　　　　　　　　　　　　　　　,N B.     ,取扱い説明書
トリチウム　　　　　　　　　　　　　　　とりちうむ　　　　　　　　　　　　　　　,N B.     ,三重水素
トリプトファン　　　　　　　　　　　　　とりぷとふぁん　　　　　　　　　　　　　,N B.     ,Ｔｒｙｐｔｏｐｈａｎ必須アミノ酸の一種
トリレンマ　　　　　　　　　　　　　　　とりれんま　　　　　　　　　　　　　　　,N 1.  N  ,
トルティーヤ　　　　　　　　　　　　　　とるてぃーや　　　　　　　　　　　　　　,N B.     ,
ドル箱　　　　　　　　　　　　　　　　　どるばこ　　　　　　　　　　　　　　　　,N 1.     ,
トレイルラン　　　　　　　　　　　　　　とれいるらん　　　　　　　　　　　　　　,N 1.     ,未舗装路を走る
トレーサビリティー　　　　　　　　　　　とれーさびりてぃー　　　　　　　　　　　,N 1.     ,流通経路たどれる
トレジャー　　　　　　　　　　　　　　　とれじゃー　　　　　　　　　　　　　　　,N B.  P  ,宝物
トレッド　　　　　　　　　　　　　　　　とれっど　　　　　　　　　　　　　　　　,N 1.     ,タイヤ接地面の中心間の距離
トレハロース　　　　　　　　　　　　　　とれはろーす　　　　　　　　　　　　　　,N B.     ,ｔｒｅｈａｌｏｓｅ甘味料
トロイの木馬　　　　　　　　　　　　　　とろいのもくば　　　　　　　　　　　　　,N 1.  N  ,Ｔｒｏｊａｎ　ｈｏｒｓｅ
ドローン　　　　　　　　　　　　　　　　どろーん　　　　　　　　　　　　　　　　,N B.     ,ｄｒｏｎｅ　飛行物体
トロピカル　　　　　　　　　　　　　　　とろぴかる　　　　　　　　　　　　　　　,N 1.     ,熱帯ふうの
ＴＲＯＮ　　　　　　　　　　　　　　　　とろん　　　　　　　　　　　　　　　　　,N 1.     ,リアルタイムOSの標準仕様
トング　　　　　　　　　　　　　　　　　とんぐ　　　　　　　　　　　　　　　　　,N B.     ,
トン骨　　　　　　　　　　　　　　　　　とんこつ　　　　　　　　　　　　　　　　,N 1.     ,鹿児島県の郷土料理
豚コレラ　　　　　　　　　　　　　　　　とんこれら　　　　　　　　　　　　　　　,N B.     ,
豚脂　　　　　　　　　　　　　　　　　　とんし　　　　　　　　　　　　　　　　　,N 1.     ,
ドン引きする　　　　　　　　　　　　　　どんびきする　　　　　　　　　　　　　　,D 4.  N  ,
どん引きする　　　　　　　　　　　　　　どんびきする　　　　　　　　　　　　　　,D 4.  N  ,
ナーバス　　　　　　　　　　　　　　　　なーばす　　　　　　　　　　　　　　　　,C  .     ,神経質
内航船　　　　　　　　　　　　　　　　　ないこうせん　　　　　　　　　　　　　　,N B.     ,
内生菌　　　　　　　　　　　　　　　　　ないせいきん　　　　　　　　　　　　　　,N B.     ,エンドファイト
内部留保　　　　　　　　　　　　　　　　ないぶりゅうほ　　　　　　　　　　　　　,N 1.     ,
長押しする　　　　　　　　　　　　　　　ながおしする　　　　　　　　　　　　　　,D 4.     ,
投げ銭　　　　　　　　　　　　　　　　　なげせん　　　　　　　　　　　　　　　　,N 1.  P  ,
ナタデココ　　　　　　　　　　　　　　　なたでここ　　　　　　　　　　　　　　　,N B.     ,
ナトカリ　　　　　　　　　　　　　　　　なとかり　　　　　　　　　　　　　　　　,N B.     ,ナトリウム・カリウム
ナトリウムポンプ　　　　　　　　　　　　なとりうむぽんぷ　　　　　　　　　　　　,N B.     ,Ｓｏｄｉｕｍ　ｐｕｍｐ
ナノスーツ　　　　　　　　　　　　　　　なのすーつ　　　　　　　　　　　　　　　,N B.     ,電子顕微鏡で生きたまま・濡れたままの生体観察を可能
ナノスケール　　　　　　　　　　　　　　なのすけーる　　　　　　　　　　　　　　,N 1.     ,
ナノ多結晶ダイヤモンド　　　　　　　　　なのたけっしょうだいやもんど　　　　　　,N B.     ,Ｎａｎｏ－ｐｏｌｙｃｒｙｓｔａｌｌｉｎｅ　ｄｉａｍｏｎｄ
ナノ炭素材料　　　　　　　　　　　　　　なのたんそざいりょう　　　　　　　　　　,N B.     ,
ナノツール　　　　　　　　　　　　　　　なのつーる　　　　　　　　　　　　　　　,N B.     ,
ナノテクノロジー　　　　　　　　　　　　なのてくのろじー　　　　　　　　　　　　,N 1.  P  ,
ナノバブル　　　　　　　　　　　　　　　なのばぶる　　　　　　　　　　　　　　　,N B.     ,ｎａｎｏ　ｂｕｂｂｌｅ
ナノマシン　　　　　　　　　　　　　　　なのましん　　　　　　　　　　　　　　　,N B.     ,ｎａｎｏｍａｃｈｉｎｅ
ナノ粒子　　　　　　　　　　　　　　　　なのりゅうし　　　　　　　　　　　　　　,N B.     ,
鍋奉行　　　　　　　　　　　　　　　　　なべぶぎょう　　　　　　　　　　　　　　,N 4.     ,
生ハム　　　　　　　　　　　　　　　　　なまはむ　　　　　　　　　　　　　　　　,N B.     ,
成り上がり　　　　　　　　　　　　　　　なりあがり　　　　　　　　　　　　　　　,C  .  N  ,
なりすまし　　　　　　　　　　　　　　　なりすまし　　　　　　　　　　　　　　　,N 1.  N  ,
ナルコレプシー　　　　　　　　　　　　　なるこれぷしー　　　　　　　　　　　　　,N 1.  N  ,ｎａｒｃｏｌｅｐｓｙ日中に突然強い眠気が出現して、眠り込んでしまう病気
南海トラフ　　　　　　　　　　　　　　　なんかいとらふ　　　　　　　　　　　　　,N 7.     ,
軟下剤　　　　　　　　　　　　　　　　　なんげざい　　　　　　　　　　　　　　　,N B.     ,
南高梅　　　　　　　　　　　　　　　　　なんこううめ　　　　　　　　　　　　　　,N B.     ,
軟骨伝導　　　　　　　　　　　　　　　　なんこつでんどう　　　　　　　　　　　　,N B.     ,軟骨伝導ヘッドホン
何じゃこりゃ　　　　　　　　　　　　　　なんじゃこりゃ　　　　　　　　　　　　　,A  .     ,
ナンス　　　　　　　　　　　　　　　　　なんす　　　　　　　　　　　　　　　　　,N 1.     ,Ｎｕｍｂｅｒ　ｕｓｅｄ　ｏｎｃｅ
何だこりゃ　　　　　　　　　　　　　　　なんだこりゃ　　　　　　　　　　　　　　,A  .     ,
軟着陸　　　　　　　　　　　　　　　　　なんちゃくりく　　　　　　　　　　　　　,N 1.     ,
何てこった　　　　　　　　　　　　　　　なんてこった　　　　　　　　　　　　　　,A  .     ,
ＮＩＳＡ　　　　　　　　　　　　　　　　にーさ　　　　　　　　　　　　　　　　　,N 1.     ,少額投資非課税財産
臭い識別する　　　　　　　　　　　　　　においしきべつする　　　　　　　　　　　,D 4.     ,
苦手　　　　　　　　　　　　　　　　　　にがて　　　　　　　　　　　　　　　　　,C  .  N  ,
煮くずれする　　　　　　　　　　　　　　にくずれする　　　　　　　　　　　　　　,D 4.  N  ,
荷くずれする　　　　　　　　　　　　　　にくずれする　　　　　　　　　　　　　　,D 4.  N  ,
二酸化炭素回収貯留　　　　　　　　　　　にさんかたんそかいしゅうちょりゅう　　　,N 1.     ,Ｃａｒｂｏｎ　ｄｉｏｘｉｄｅ　Ｃａｐｔｕｒｅ　ａｎｄ　Ｓｔｏｒａｇｅ
西詰　　　　　　　　　　　　　　　　　　にしづめ　　　　　　　　　　　　　　　　,N 7.     ,
二重らせん　　　　　　　　　　　　　　　にじゅうらせん　　　　　　　　　　　　　,N B.     ,遺伝子
日較差　　　　　　　　　　　　　　　　　にちかくさ　　　　　　　　　　　　　　　,N 8.     ,気温の1日の差
ニッカポッカ　　　　　　　　　　　　　　にっかぽっか　　　　　　　　　　　　　　,N B.     ,ズボン
にない手　　　　　　　　　　　　　　　　にないて　　　　　　　　　　　　　　　　,N 4.     ,
煮びたし　　　　　　　　　　　　　　　　にびたし　　　　　　　　　　　　　　　　,N B.     ,
ニボルマブ　　　　　　　　　　　　　　　にぼるまぶ　　　　　　　　　　　　　　　,N B.     ,Ｎｉｖｏｌｕｍａｂ免疫チェックポイント阻害薬
ニホンニウム　　　　　　　　　　　　　　にほんにうむ　　　　　　　　　　　　　　,N B.     , 113番元素　元素記号は Nh
日本マスタートラスト信託銀行　　　　　　にほんますたーとらすとしんたくぎんこう　,N 5.     ,
入漁権　　　　　　　　　　　　　　　　　にゅうぎょけん　　　　　　　　　　　　　,N 1.     ,
ニューサンス　　　　　　　　　　　　　　にゅーさんす　　　　　　　　　　　　　　,N 1.  N  ,ｎｕｉｓａｎｃｅ迷惑行為、生活妨害行為
入出庫する　　　　　　　　　　　　　　　にゅうしゅっこする　　　　　　　　　　　,D 4.     ,
新田原　　　　　　　　　　　　　　　　　にゅうたばる　　　　　　　　　　　　　　,N 7.     ,
ニュートリノ　　　　　　　　　　　　　　にゅーとりの　　　　　　　　　　　　　　,N B.     ,neutrino
ニューラルネットワーク　　　　　　　　　にゅーらるねっとわーく　　　　　　　　　,N B.     ,ｎｅｕｒａｌ　ｎｅｔｗｏｒｋ脳内にある神経細胞（ニューロン）とそのつながり
ニューロ　　　　　　　　　　　　　　　　にゅーろ　　　　　　　　　　　　　　　　,N B.     ,神経回路網
ニョッキ　　　　　　　　　　　　　　　　にょっき　　　　　　　　　　　　　　　　,N B.     ,ｇｎｏｃｃｈｉ団子状のパスタの一種で、ジャガイモと小麦粉との組合せ
妊活　　　　　　　　　　　　　　　　　　にんかつ　　　　　　　　　　　　　　　　,N 1.     ,
認証デバイス　　　　　　　　　　　　　　にんしょうでばいす　　　　　　　　　　　,N B.     ,
認知　　　　　　　　　　　　　　　　　　にんち　　　　　　　　　　　　　　　　　,N 1.     ,
認知症　　　　　　　　　　　　　　　　　にんちしょう　　　　　　　　　　　　　　,N 1.     ,ＭＣＩ
濡れ落ち葉　　　　　　　　　　　　　　　ぬれおちば　　　　　　　　　　　　　　　,N 1.     ,
ヌン活　　　　　　　　　　　　　　　　　ぬんかつ　　　　　　　　　　　　　　　　,N 1.  P  ,アフタヌーンティーを楽しむ活動
ネアンデルタール　　　　　　　　　　　　ねあんでるたーる　　　　　　　　　　　　,N 4.     ,Neanderthal
ネイビー　　　　　　　　　　　　　　　　ねいびー　　　　　　　　　　　　　　　　,N B.     ,紺色,NAVY
ネガティブケイパビリティー　　　　　　　ねがてぃぶけいぱびりてぃー　　　　　　　,N 1.     ,消極的受容力
ネガワット　　　　　　　　　　　　　　　ねがわっと　　　　　　　　　　　　　　　,N 1.     ,ｎｅｇａｗａｔｔ負の消費電力
猫好き　　　　　　　　　　　　　　　　　ねこずき　　　　　　　　　　　　　　　　,C  .     ,
猫派　　　　　　　　　　　　　　　　　　ねこは　　　　　　　　　　　　　　　　　,C  .     ,
熱水噴出口　　　　　　　　　　　　　　　ねっすいふんしゅつこう　　　　　　　　　,N B.     ,
熱中症　　　　　　　　　　　　　　　　　ねっちゅうしょう　　　　　　　　　　　　,N 1.  N  ,
ネットフリックス　　　　　　　　　　　　ねっとふりっくす　　　　　　　　　　　　,N 1.     ,動画配信サービス
ネットワーク空間　　　　　　　　　　　　ねっとわーくくうかん　　　　　　　　　　,N 1.     ,Ｎｅｔｗｏｒｋ　ｓｐａｃｅ
ネモフィラ　　　　　　　　　　　　　　　ねもふぃら　　　　　　　　　　　　　　　,N B.     ,nemophila
ネルンスト　　　　　　　　　　　　　　　ねるんすと　　　　　　　　　　　　　　　,N 1.     ,電池の電極の電位
年縞堆積物　　　　　　　　　　　　　　　ねんこうたいせきぶつ　　　　　　　　　　,N B.     ,Ｙｅａｒ　ｆｒｉｎｇｅｓ　ｓｅｄｉｍｅｎｔｓ
燃料電池　　　　　　　　　　　　　　　　ねんりょうでんち　　　　　　　　　　　　,N B.     ,
ノアの方舟　　　　　　　　　　　　　　　のあのはこぶね　　　　　　　　　　　　　,N 1.     ,
脳科学　　　　　　　　　　　　　　　　　のうかがく　　　　　　　　　　　　　　　,N 1.     ,ｂｒａｉｎ　ｓｃｉｅｎｃｅ
濃集帯　　　　　　　　　　　　　　　　　のうしゅうたい　　　　　　　　　　　　　,N 7.     ,Ｃｏｎｃｅｎｔｒａｔｅｄ　ｚｏｎｅメタンハイドレート濃集帯
脳内再生　　　　　　　　　　　　　　　　のうないさいせい　　　　　　　　　　　　,N 1.     ,
ノーマライゼーション　　　　　　　　　　のーまらいぜーしょん　　　　　　　　　　,N 1.     ,健常者と共に生活する
ノームコア　　　　　　　　　　　　　　　のーむこあ　　　　　　　　　　　　　　　,N B.     ,通常の服装
ノジュール　　　　　　　　　　　　　　　のじゅーる　　　　　　　　　　　　　　　,N B.     ,ｎｏｄｕｌｅ硬くて丸い石球（団塊）のこと
ノスタルジック　　　　　　　　　　　　　のすたるじっく　　　　　　　　　　　　　,C  .  P  ,
ノセボ　　　　　　　　　　　　　　　　　のせぼ　　　　　　　　　　　　　　　　　,N B.     ,薬でないものが薬効を示す
ノビレチン　　　　　　　　　　　　　　　のびれちん　　　　　　　　　　　　　　　,N B.     ,Nobiletinフラボノイドの一種
のぼり旗　　　　　　　　　　　　　　　　のぼりばた　　　　　　　　　　　　　　　,N B.     ,
ノマド　　　　　　　　　　　　　　　　　のまど　　　　　　　　　　　　　　　　　,N 1.     ,ｎｏｍａｄオフィスへの出社義務がなく、その日に合わせて居場所を変える働き方
飲み友達　　　　　　　　　　　　　　　　のみともだち　　　　　　　　　　　　　　,N 4.     ,
法面　　　　　　　　　　　　　　　　　　のりめん　　　　　　　　　　　　　　　　,N B.     ,
ノルアドレナリン　　　　　　　　　　　　のるあどれなりん　　　　　　　　　　　　,N B.     ,
